iter	RMSE
675	0.0458903258
676	0.04582443762
677	0.04572652425
678	0.04564223346
679	0.0455739221
680	0.04549189485
681	0.04542419392
682	0.04536799402
683	0.04530098771
684	0.04519299023
685	0.0451371933
686	0.04503154354
687	0.04498123248
688	0.04495501059
689	0.04484209412
690	0.04478339799
691	0.04467317353
692	0.04458112829
693	0.04445637247
694	0.04436734348
695	0.04431219994
696	0.04424685732
697	0.0441409214
698	0.04407913067
699	0.04393743331
700	0.04388732931
701	0.04380453749
702	0.04373102846
703	0.04372500635
704	0.04363853562
705	0.04360220308
706	0.04354297585
707	0.04354112342
708	0.04346160375
709	0.04338711212
710	0.04327802477
711	0.04327559667
712	0.0432093126
713	0.04314471524
714	0.04308468771
715	0.0430828936
716	0.04299830769
717	0.04289658666
718	0.04288265017
719	0.04287982666
720	0.04287753534
721	0.04279140848
722	0.04279012869
723	0.0427879967
724	0.04269373947
725	0.04261190689
726	0.04253553375
727	0.04242557404
728	0.04237281264
729	0.04232248805
730	0.04232002065
731	0.04227765689
732	0.04222633243
733	0.04217655118
734	0.04210629235
735	0.04200930379
736	0.04198115151
737	0.04192429226
738	0.04182754321
739	0.04175796941
740	0.04170287003
741	0.04161687628
742	0.04161559929
743	0.04152458264
744	0.04143003316
745	0.04142238371
746	0.04133909998
747	0.04125855719
748	0.04125366299
749	0.04119261229
750	0.04110267023
751	0.04110091526
752	0.04103931538
753	0.0409758736
754	0.04091196995
755	0.0408614808
756	0.04076821066
757	0.04068399842
758	0.04061120938
759	0.04056266114
760	0.04050275978
761	0.04046264361
762	0.04042380394
763	0.04042144746
764	0.04035946124
765	0.04035704039
766	0.04030642766
767	0.04026137029
768	0.04020314365
769	0.0401101799
770	0.04007670466
771	0.04007510192
772	0.04001753149
773	0.04001542686
774	0.0399744061
775	0.03994500657
776	0.03991658207
777	0.03981599956
778	0.03975687509
779	0.03970171076
780	0.03958763921
781	0.03953596394
782	0.03950915152
783	0.03950660704
784	0.03944690427
785	0.03939318981
786	0.03933801939
787	0.03928983203
788	0.03920752905
789	0.03914971328
790	0.03909433572
791	0.03903764011
792	0.03897940129
793	0.03891417918
794	0.03885165317
795	0.03877816607
796	0.03868337547
797	0.03861301004
798	0.03856739034
799	0.03854176277
800	0.03845803329
801	0.03838139149
802	0.03835341203
803	0.0382855303
804	0.03821081793
805	0.03811004745
806	0.03800493698
807	0.03795259811
808	0.03795043956
809	0.037852092
810	0.03777690525
811	0.0376808519
812	0.03757758392
813	0.03749914204
814	0.03740542496
815	0.03737904335
816	0.03732986192
817	0.03731299492
818	0.0372900821
819	0.0372267349
820	0.03717087107
821	0.0371029982
822	0.03705411433
823	0.03703401107
824	0.03699031582
825	0.03689398008
826	0.03683567282
827	0.03678995667
828	0.0367567153
829	0.036715906
830	0.03668408898
831	0.03661469814
832	0.03651764983
833	0.03644679541
834	0.03638591654
835	0.03628177711
836	0.03623084271
837	0.03617887652
838	0.03612879779
839	0.03607849527
840	0.03599805129
841	0.03596660742
842	0.03596459059
843	0.03591099904
844	0.03586893108
845	0.03583680849
846	0.03582972305
847	0.03577875255
848	0.03572104716
849	0.0356770204
850	0.03559654432
851	0.0355522408
852	0.03555039843
853	0.03548200002
854	0.03543264086
855	0.03534180598
856	0.03526341478
857	0.03520890411
858	0.03512708355
859	0.03506935585
860	0.03504822529
861	0.03501406405
862	0.03495301836
863	0.03490921983
864	0.03489688871
865	0.03484176221
866	0.03475539965
867	0.03468505879
868	0.03461303179
869	0.03454868889
870	0.03449100571
871	0.03443908688
872	0.03443701806
873	0.03441476214
874	0.03434366519
875	0.03429073192
876	0.03422763686
877	0.03422571174
878	0.03416904596
879	0.03414179335
880	0.03406512965
881	0.03399763182
882	0.03399580554
883	0.03392602941
884	0.03387160648
885	0.03378501226
886	0.03370179739
887	0.03364632929
888	0.03360336619
889	0.03360130122
890	0.03359948486
891	0.03354912446
892	0.03351773875
893	0.03347424978
894	0.03344741176
895	0.03341458386
896	0.03339085781
897	0.03335443728
898	0.03333227658
899	0.03326941502
900	0.03326775186
901	0.03320573738
902	0.03316891625
903	0.0331468624
904	0.03310996822
905	0.03306442403
906	0.03302068794
907	0.03298881558
908	0.03295241963
909	0.03289822215
910	0.03283646943
911	0.03278103948
912	0.03275260666
913	0.03270340348
914	0.03267257398
915	0.0325693059
916	0.03256801365
917	0.03255463718
918	0.03252524181
919	0.03246859918
920	0.03244884369
921	0.03235827487
922	0.03231147364
923	0.03222919303
924	0.03218589974
925	0.03216103171
926	0.03210988974
927	0.03206240655
928	0.03199146785
929	0.03193665616
930	0.03190170422
931	0.03186494167
932	0.03184023069
933	0.03180626949
934	0.03179738556
935	0.03177750759
936	0.03173058253
937	0.03172861388
938	0.03165442756
939	0.03160789475
940	0.03160082594
941	0.03153280798
942	0.03153138095
943	0.03146560359
944	0.03140085923
945	0.03136725107
946	0.03130356699
947	0.03123844494
948	0.03119106485
949	0.03115685384
950	0.03114822435
951	0.03114641392
952	0.03109371025
953	0.03100558728
954	0.03099045252
955	0.03089794155
956	0.03085063574
957	0.0307987619
958	0.03074566207
959	0.03071483037
960	0.03068459482
961	0.030652585
962	0.03061344641
963	0.03056932524
964	0.03053978136
965	0.03049395638
966	0.03049037583
967	0.03043335218
968	0.03039011012
969	0.03038019318
970	0.0303378876
971	0.0302923742
972	0.0302712502
973	0.03020384041
974	0.03012007806
975	0.03007814278
976	0.03001754148
977	0.02996825777
978	0.02990273223
979	0.02983935773
980	0.02976759976
981	0.02970877382
982	0.0296429846
983	0.02960181147
984	0.02957053218
985	0.02951415504
986	0.02947356222
987	0.02938964046
988	0.02933673971
989	0.02931454526
990	0.0292463828
991	0.02918977687
992	0.02916871391
993	0.02912622135
994	0.02908305963
995	0.02906564291
996	0.02901045225
997	0.02899018482
998	0.02893413219
999	0.02889849315
